,p_id,p_name,p_href,p_level,p_answer_people,try_count,category
0,1223,마법의 돌,https://www.acmicpc.net/problem/1223,0,2,8.00,
1,1237,정ㅋ벅ㅋ,https://www.acmicpc.net/problem/1237,0,"19,905",3.17,
2,1274,커피숍1,https://www.acmicpc.net/problem/1274,0,31,11.61,
3,1299,전쟁 - 탈출편2,https://www.acmicpc.net/problem/1299,0,10,7.70,
4,1317,그룹 단어,https://www.acmicpc.net/problem/1317,0,14,6.71,
5,1324,젠장,https://www.acmicpc.net/problem/1324,0,65,4.45,
6,1349,건축가의 나라,https://www.acmicpc.net/problem/1349,0,3,2.00,
7,1363,트리,https://www.acmicpc.net/problem/1363,0,4,2.00,
8,1367,타브 악보,https://www.acmicpc.net/problem/1367,0,3,6.33,
9,1378,증가 수열,https://www.acmicpc.net/problem/1378,0,4,21.25,
10,1387,행렬 교환,https://www.acmicpc.net/problem/1387,0,8,2.50,
11,1397,인화철도 구구칠,https://www.acmicpc.net/problem/1397,0,5,18.60,
12,1428,다각형의 개수,https://www.acmicpc.net/problem/1428,0,7,6.29,
13,1447,보호 천막,https://www.acmicpc.net/problem/1447,0,2,4.00,
14,1452,숌 크로스워드,https://www.acmicpc.net/problem/1452,0,2,1.50,
15,1454,세비 게임,https://www.acmicpc.net/problem/1454,0,4,5.75,
16,1458,종이 겹치기,https://www.acmicpc.net/problem/1458,0,4,3.25,
17,1465,배열 고치기,https://www.acmicpc.net/problem/1465,0,7,1.14,
18,1468,네트워크,https://www.acmicpc.net/problem/1468,0,6,2.00,
19,1472,전화번호,https://www.acmicpc.net/problem/1472,0,2,3.00,
20,1478,정사각형,https://www.acmicpc.net/problem/1478,0,5,2.60,
21,1483,저항,https://www.acmicpc.net/problem/1483,0,2,3.50,
22,1496,기타 고르기,https://www.acmicpc.net/problem/1496,0,4,3.75,
23,1558,그림의 개수,https://www.acmicpc.net/problem/1558,0,6,2.83,
24,1567,모든 사이클의 길이,https://www.acmicpc.net/problem/1567,0,3,3.67,
25,1579,보물 찾기,https://www.acmicpc.net/problem/1579,0,5,3.20,
26,1583,이동호의 트럭,https://www.acmicpc.net/problem/1583,0,4,4.00,
27,1589,레이저,https://www.acmicpc.net/problem/1589,0,2,9.00,
28,1596,영식함수,https://www.acmicpc.net/problem/1596,0,10,2.60,
29,1597,아스키 아트,https://www.acmicpc.net/problem/1597,0,3,1.00,
30,1610,프로게이머 영식,https://www.acmicpc.net/problem/1610,0,3,5.33,
31,1641,삼각형 개수 세기,https://www.acmicpc.net/problem/1641,0,5,1.20,
32,1645,성지의 생일파티,https://www.acmicpc.net/problem/1645,0,131,3.32,
33,1651,숌 코드,https://www.acmicpc.net/problem/1651,0,2,6.00,
34,1674,성준이와 초콜릿,https://www.acmicpc.net/problem/1674,0,6,3.83,
